Interval=	0.00025 s
ExcelDateTime=	4.2696564851361203e+004	11/22/2016 13:33:23.157608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMG	Stim
Range=	10.000 V	10.000 V
29.4535	0.060	0.001
29.45375	0.622	0.000
29.454	0.919	0.000
29.45425	0.975	0.000
29.4545	0.931	0.000
29.45475	0.977	0.000
29.455	1.252	0.000
29.45525	1.745	0.000
29.4555	2.366	0.000
29.45575	2.990	0.000
29.456	3.400	0.000
29.45625	3.318	0.001
29.4565	2.725	-0.000
29.45675	1.796	0.000
29.457	0.799	0.001
29.45725	0.074	0.001
29.4575	-0.173	0.000
29.45775	-0.042	0.000
29.458	0.266	-0.000
29.45825	0.536	0.000
29.4585	0.698	0.000
29.45875	0.784	0.000
29.459	0.822	0.000
29.45925	0.836	0.000
29.4595	0.856	0.000
29.45975	0.867	0.001
29.46	0.818	0.001
29.46025	0.615	0.000
29.4605	0.217	0.000
29.46075	-0.327	0.000
29.461	-0.906	0.000
29.46125	-1.401	0.001
29.4615	-1.695	4.956
29.46175	-1.410	4.957
29.462	-1.077	0.001
29.46225	-0.593	0.000
29.4625	-0.063	0.000
29.46275	0.364	0.000
29.463	0.671	0.000
29.46325	0.940	0.000
29.4635	1.188	0.000
29.46375	1.454	0.001
29.464	1.786	0.000
29.46425	2.086	0.000
29.4645	2.188	0.000
29.46475	2.062	0.000
29.465	1.812	0.000
29.46525	1.631	0.001
29.4655	1.668	0.001
29.46575	1.763	0.000
29.466	1.501	0.000
29.46625	0.607	0.000
29.4665	-0.754	0.000
29.46675	-2.024	0.000
29.467	-2.670	0.000
29.46725	-2.509	0.001
29.4675	-1.723	0.000
29.46775	-0.576	0.000
29.468	0.706	0.000
29.46825	1.888	0.000
29.4685	2.818	0.000
29.46875	3.468	0.001
29.469	3.894	0.000
29.46925	4.159	-0.000
29.4695	4.305	0.001
29.46975	4.357	0.000
29.47	4.337	0.000
29.47025	4.265	0.000
29.4705	4.160	0.001
29.47075	4.041	0.000
29.471	3.927	0.000
29.47125	3.816	0.001
29.4715	3.697	0.000
29.47175	3.557	0.001
29.472	3.399	0.000
29.47225	3.233	0.001
29.4725	3.064	0.000
29.47275	2.893	0.000
29.473	2.753	0.001
29.47325	2.592	0.000
29.4735	2.203	0.000
29.47375	1.531	0.000
