Interval=	0.00025 s
ExcelDateTime=	4.2696564859723469e+004	11/22/2016 13:33:23.880108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
30.07625	-0.394	0.000
30.0765	0.019	0.000
30.07675	0.354	0.000
30.077	0.581	0.000
30.07725	0.750	0.001
30.0775	0.943	0.000
30.07775	1.160	0.000
30.078	1.312	0.000
30.07825	1.320	0.001
30.0785	1.202	0.000
30.07875	1.043	0.000
30.079	0.893	0.000
30.07925	0.748	0.000
30.0795	0.601	0.000
30.07975	0.469	0.000
30.08	0.368	0.000
30.08025	0.295	0.000
30.0805	0.260	0.000
30.08075	0.294	0.000
30.081	0.394	0.000
30.08125	0.493	0.000
30.0815	0.514	0.000
30.08175	0.442	-0.000
30.082	0.309	0.000
30.08225	0.123	0.001
30.0825	-0.142	0.000
30.08275	-0.482	-0.000
30.083	-0.840	0.000
30.08325	-1.153	0.000
30.0835	-1.382	0.000
30.08375	-1.487	0.000
30.084	-1.416	0.000
30.08425	-1.155	0.000
30.0845	-0.766	-0.000
30.08475	-0.366	0.000
30.085	-0.060	0.000
30.08525	0.139	0.000
30.0855	0.315	0.000
30.08575	0.539	0.000
30.086	0.716	0.000
30.08625	0.633	-0.000
30.0865	0.219	4.956
30.08675	-0.286	4.957
30.087	-0.527	0.001
30.08725	-0.382	0.001
30.0875	-0.020	0.000
30.08775	0.358	0.000
30.088	0.694	0.001
30.08825	0.985	-0.000
30.0885	1.173	0.000
30.08875	1.219	0.001
30.089	1.195	0.000
30.08925	1.201	0.000
30.0895	1.240	0.000
30.08975	1.238	-0.000
30.09	1.165	0.001
30.09025	1.067	0.000
30.0905	0.989	-0.000
30.09075	0.930	-0.001
30.091	0.887	0.000
30.09125	0.876	0.000
30.0915	0.911	-0.000
30.09175	0.966	0.001
30.092	1.004	0.000
30.09225	1.007	0.000
30.0925	0.994	0.000
30.09275	0.992	-0.000
30.093	1.004	-0.000
30.09325	1.011	-0.000
30.0935	1.008	0.000
30.09375	1.002	0.000
30.094	0.981	0.000
30.09425	0.887	0.000
30.0945	0.657	0.000
30.09475	0.286	0.001
30.095	-0.167	0.000
30.09525	-0.636	0.000
30.0955	-1.078	0.000
30.09575	-1.442	0.000
30.096	-1.651	0.001
30.09625	-1.660	0.000
30.0965	-1.514	-0.000
30.09675	-1.329	0.000
30.097	-1.191	0.000
30.09725	-1.118	0.000
30.0975	-1.105	0.000
30.09775	-1.167	0.000
30.098	-1.307	-0.000
30.09825	-1.455	0.000
30.0985	-1.504	0.000
30.09875	-1.413	0.000
30.099	-1.240	-0.000
30.09925	-1.065	-0.000
30.0995	-0.895	-0.000
30.09975	-0.695	0.000
30.1	-0.459	0.000
30.10025	-0.215	0.001
30.1005	0.021	0.001
30.10075	0.256	0.001
30.101	0.482	0.000
30.10125	0.687	0.001
30.1015	0.900	0.000
30.10175	1.153	0.000
30.102	1.361	0.000
30.10225	1.336	-0.000
30.1025	0.963	0.000
30.10275	0.345	0.000
30.103	-0.279	0.000
30.10325	-0.729	0.000
30.1035	-0.955	0.000
30.10375	-0.986	-0.000
30.104	-0.864	0.000
30.10425	-0.637	0.000
30.1045	-0.355	0.000
30.10475	-0.072	0.000
30.105	0.138	-0.000
30.10525	0.185	0.001
30.1055	0.038	0.000
30.10575	-0.221	0.000
30.106	-0.459	0.000
30.10625	-0.615	0.000
30.1065	-0.714	0.001
30.10675	-0.776	-0.000
30.107	-0.766	0.000
30.10725	-0.656	0.000
30.1075	-0.479	0.000
30.10775	-0.303	0.000
30.108	-0.157	0.000
30.10825	-0.025	0.000
30.1085	0.119	0.000
30.10875	0.275	0.000
30.109	0.422	0.000
30.10925	0.542	0.000
30.1095	0.647	0.000
30.10975	0.752	0.000
30.11	0.837	-0.000
30.11025	0.857	0.000
30.1105	0.816	0.001
30.11075	0.793	0.000
30.111	0.850	0.000
30.11125	0.918	0.001
30.1115	0.848	4.955
30.11175	0.564	4.956
30.112	0.130	0.001
30.11225	-0.338	0.001
30.1125	-0.763	0.000
30.11275	-1.097	0.000
30.113	-1.281	0.000
30.11325	-1.275	0.001
30.1135	-1.099	0.000
30.11375	-0.797	0.000
30.114	-0.409	0.001
30.11425	0.012	0.000
30.1145	0.378	0.000
30.11475	0.634	0.000
30.115	0.805	0.001
30.11525	0.939	0.000
30.1155	0.994	0.001
30.11575	0.866	0.000
30.116	0.541	0.000
30.11625	0.165	0.000
30.1165	-0.074	0.000
30.11675	-0.107	0.000
30.117	-0.003	0.000
30.11725	0.150	0.000
30.1175	0.328	0.000
30.11775	0.543	0.000
30.118	0.783	0.000
30.11825	1.006	0.000
30.1185	1.177	-0.000
30.11875	1.299	0.000
30.119	1.391	0.000
30.11925	1.455	0.000
30.1195	1.466	0.000
30.11975	1.399	0.000
30.12	1.267	0.000
30.12025	1.114	-0.000
30.1205	0.973	0.000
30.12075	0.829	0.000
30.121	0.642	0.000
30.12125	0.387	0.000
30.1215	0.080	-0.000
30.12175	-0.232	0.001
30.122	-0.502	0.000
30.12225	-0.698	0.001
30.1225	-0.811	0.000
30.12275	-0.851	0.000
30.123	-0.845	-0.000
30.12325	-0.833	0.000
30.1235	-0.865	0.000
30.12375	-0.970	0.000
30.124	-1.141	-0.000
30.12425	-1.329	0.000
30.1245	-1.484	0.001
30.12475	-1.574	0.000
30.125	-1.575	0.000
30.12525	-1.452	0.000
30.1255	-1.178	0.000
30.12575	-0.765	-0.000
30.126	-0.268	0.000
30.12625	0.231	0.000
30.1265	0.655	0.000
30.12675	0.947	0.000
30.127	1.088	0.001
30.12725	1.096	0.000
30.1275	1.020	0.000
30.12775	0.917	-0.000
30.128	0.849	0.000
30.12825	0.855	0.000
30.1285	0.925	0.000
30.12875	0.989	0.000
30.129	0.967	0.000
30.12925	0.828	0.001
